usr1,grp315
usr2464,grp269
usr2464,z,loc4646
usr2465,grp411
usr2465,z,loc4451
usr2466,grp661
usr2467,grp676
usr2467,z,loc1957
usr2468,grp466
usr2469,grp226
usr2470,grp458
usr2471,grp384
usr2471,x,loc3018
usr2472,grp994
usr2473,grp570
usr2474,grp8
usr2475,grp481
usr2475,z,loc4620
usr2476,grp31
usr2477,grp869
usr2477,y,loc2676
usr2478,grp950
usr2479,grp935
usr2479,z,loc653
usr2480,grp49
usr2481,grp688
usr2482,grp95
usr2483,grp302
usr2483,x,loc793
usr2484,grp555
usr2484,x,loc1926
usr2485,grp839
usr2485,z,loc3575
usr2486,grp104
usr2486,y,loc3834
usr2487,grp217
usr2488,grp636
usr2488,y,loc3546
usr2489,grp268
usr2490,grp490
usr2490,z,loc1865
usr2491,grp689
usr2492,grp97
usr2493,grp625
usr2493,z,loc872
usr2494,grp539
usr2495,grp726
usr2495,x,loc4278
usr2496,grp282
usr2496,z,loc1165
usr2497,grp230
usr2497,z,loc222
usr2498,grp538
usr2498,z,loc322
usr2499,grp546
usr2499,x,loc2645
usr2500,grp774
usr2500,y,loc4994
usr2501,grp970
usr2501,z,loc1224
usr2502,grp771
usr2503,grp721
usr2503,z,loc4234
usr2504,grp532
usr2504,x,loc2277
usr2505,grp525
usr2505,x,loc2062
usr2506,grp358
usr2507,grp44
usr2508,grp278
usr2509,grp201
usr2509,x,loc2424
usr2510,grp147
usr2511,grp212
usr2511,z,loc3069
usr2512,grp226
usr2512,z,loc472
usr2513,grp698
usr2513,y,loc2730
usr2514,grp554
usr2514,y,loc588
usr2515,grp198
usr2516,grp609
usr2516,z,loc435
usr2517,grp159
usr2518,grp221
usr2518,x,loc166
usr2519,grp95
usr2520,grp498
usr2520,z,loc3080
usr2521,grp465
usr2521,z,loc1301
usr2522,grp423
usr2523,grp262
usr2523,y,loc4611
usr2524,grp673
usr2525,grp533
usr2525,z,loc4628
usr2526,grp789
usr2526,y,loc479
usr2527,grp216
usr2527,x,loc156
usr2528,grp743
usr2529,grp30
usr2530,grp288
usr2531,grp408
usr2531,x,loc3485
usr2532,grp910
usr2532,y,loc3123
usr2533,grp16
usr2534,grp765
usr2534,y,loc3179
usr2535,grp525
usr2536,grp718
usr2537,grp526
usr2538,grp768
usr2538,x,loc1198
usr2539,grp267
usr2539,y,loc2066
usr2540,grp726
usr2540,y,loc1573
usr2541,grp748
usr2542,grp103
usr2542,y,loc2731
usr2543,grp740
usr2544,grp242
usr2545,grp880
usr2545,y,loc3961
usr2546,grp72
usr2546,z,loc3377
usr2547,grp650
usr2547,x,loc1857
usr2548,grp517
usr2549,grp463
usr2550,grp445
usr2550,x,loc4514
usr2551,grp882
usr2552,grp17
usr2553,grp493
usr2553,z,loc2129
usr2554,grp709
usr2555,grp19
usr2555,y,loc1366
usr2556,grp248
usr2557,grp176
usr2557,x,loc326
usr2558,grp853
usr2558,y,loc4178
usr2559,grp506
usr2559,y,loc1126
usr2560,grp42
usr2561,grp334
usr2562,grp700
usr2562,z,loc2146
usr2563,grp988
usr2563,y,loc649
usr2564,grp712
usr2565,grp593
usr2565,z,loc4405
usr2566,grp395
usr2566,y,loc446
usr2567,grp585
usr2567,z,loc1521
usr2568,grp970
usr2568,z,loc624
usr2569,grp947
usr2570,grp423
usr2570,x,loc2278
usr2571,grp65
usr2572,grp694
usr2573,grp161
usr2574,grp815
usr2575,grp545
usr2576,grp990
usr2576,z,loc1352
usr2577,grp107
usr2578,grp187
usr2579,grp71
usr2580,grp256
usr2580,y,loc3155
usr2581,grp935
usr2581,x,loc1349
usr2582,grp706
usr2583,grp156
usr2583,z,loc3474
usr2584,grp724
usr2585,grp93
usr2586,grp373
usr2587,grp869
usr2587,z,loc4804
usr2588,grp338
usr2588,x,loc3460
usr2589,grp345
usr2590,grp682
usr2591,grp42
usr2591,y,loc3454
usr2592,grp127
usr2593,grp438
usr2594,grp641
usr2595,grp236
usr2596,grp865
usr2597,grp786
usr2598,grp72
usr2599,grp218
usr2599,z,loc899
usr2600,grp753
usr2601,grp203
usr2602,grp930
usr2603,grp888
usr2603,z,loc1157
usr2604,grp476
usr2604,y,loc4491
usr2605,grp984
usr2605,x,loc1231
usr2606,grp495
usr2607,grp187
usr2608,grp582
usr2608,z,loc4704
usr2609,grp536
usr2609,y,loc834
usr2610,grp558
usr2611,grp157
usr2612,grp191
usr2613,grp733
usr2613,x,loc3403
usr2614,grp814
usr2615,grp629
usr2616,grp118
usr2616,x,loc3533
usr2617,grp647
usr2618,grp186
usr2619,grp348
usr2620,grp490
usr2620,x,loc1225
usr2621,grp272
usr2621,y,loc1802
usr2622,grp361
usr2622,y,loc4043
usr2623,grp798
usr2623,y,loc3385
usr2624,grp603
usr2625,grp205
usr2626,grp614
usr2626,z,loc4630
usr2627,grp895
usr2627,x,loc1156
usr2628,grp667
usr2628,z,loc1449
usr2629,grp915
usr2630,grp677
usr2630,z,loc108
usr2631,grp259
usr2632,grp232
usr2633,grp606
usr2633,z,loc4945
usr2634,grp76
usr2634,y,loc2325
usr2635,grp75
usr2636,grp155
usr2637,grp370
usr2637,y,loc4572
usr2638,grp942
usr2639,grp556
usr2640,grp652
usr2641,grp603
usr2642,grp744
usr2642,y,loc185
usr2643,grp208
usr2643,x,loc72
usr2644,grp334
usr2645,grp213
usr2646,grp366
usr2646,z,loc3472
usr2647,grp26
usr2647,y,loc80
usr2648,grp815
usr2648,z,loc2359
usr2649,grp424
usr2649,x,loc69
usr2650,grp293
usr2650,y,loc2701
usr2651,grp341
usr2651,x,loc814
usr2652,grp151
usr2653,grp724
usr2654,grp458
usr2654,z,loc1002
usr2655,grp590
usr2655,z,loc522
usr2656,grp651
usr2657,grp33
usr2658,grp608
usr2659,grp887
usr2659,x,loc2722
usr2660,grp939
usr2660,z,loc2622
usr2661,grp604
usr2662,grp797
usr2662,z,loc4430
usr2663,grp520
usr2663,x,loc192
usr2664,grp531
usr2664,x,loc2613
usr2665,grp260
usr2665,x,loc2252
usr2666,grp218
usr2666,y,loc894
usr2667,grp176
usr2667,z,loc1283
usr2668,grp778
usr2668,x,loc1226
usr2669,grp150
usr2669,x,loc1806
usr2670,grp549
usr2670,x,loc2427
usr2671,grp848
usr2672,grp532
usr2673,grp703
usr2673,y,loc1742
usr2674,grp608
usr2675,grp730
usr2676,grp598
usr2676,z,loc1648
usr2677,grp306
usr2677,y,loc1048
usr2678,grp229
usr2678,y,loc1291
usr2679,grp494
usr2679,z,loc1788
usr2680,grp197
usr2681,grp287
usr2682,grp354
usr2683,grp613
usr2683,z,loc2328
usr2684,grp154
usr2684,x,loc1301
usr2685,grp933
usr2686,grp444
usr2687,grp800
usr2688,grp859
usr2689,grp856
usr2689,z,loc4993
usr2690,grp980
usr2690,y,loc3813
usr2691,grp920
usr2691,z,loc3542
usr2692,grp916
usr2692,z,loc4354
usr2693,grp99
usr2694,grp889
usr2695,grp975
usr2695,x,loc1586
usr2696,grp153
usr2696,y,loc3475
usr2697,grp88
usr2698,grp732
usr2699,grp41
usr2700,grp274
usr2701,grp622
usr2702,grp861
usr2703,grp257
usr2703,y,loc4392
usr2704,grp696
usr2705,grp490
usr2705,x,loc3865
usr2706,grp502
usr2706,x,loc2217
usr2707,grp302
usr2707,z,loc2453
usr2708,grp908
usr2709,grp600
usr2709,x,loc2294
usr2710,grp114
usr2710,y,loc4977
usr2711,grp460
usr2711,y,loc1484
usr2712,grp243
usr2712,x,loc3903
usr2713,grp630
usr2713,z,loc4643
usr2714,grp95
usr2714,z,loc2177
usr2715,grp348
usr2715,x,loc2524
usr2716,grp359
usr2717,grp880
usr2718,grp518
usr2719,grp734
usr2720,grp902
usr2721,grp71
usr2721,x,loc3690
usr2722,grp641
usr2723,grp935
usr2724,grp529
usr2725,grp779
usr2726,grp477
usr2726,z,loc2250
usr2727,grp989
usr2727,y,loc2951
usr2728,grp171
usr2728,z,loc737
usr2729,grp141
usr2730,grp23
usr2730,z,loc497
usr2731,grp12
usr2732,grp703
usr2733,grp471
usr2734,grp55
usr2735,grp47
usr2735,z,loc4641
usr2736,grp215
usr2736,z,loc2841
usr2737,grp697
usr2737,z,loc3156
usr2738,grp400
usr2738,x,loc2371
usr2739,grp555
usr2740,grp723
usr2741,grp373
usr2742,grp515
usr2742,z,loc3553
usr2743,grp992
usr2743,x,loc396
usr2744,grp263
usr2744,x,loc2526
usr2745,grp435
usr2746,grp211
usr2746,y,loc583
usr2747,grp188
usr2747,z,loc1249
usr2748,grp660
usr2749,grp109
usr2749,z,loc1781
usr2750,grp779
usr2751,grp220
usr2752,grp553
usr2753,grp387
usr2753,y,loc634
usr2754,grp784
usr2755,grp639
usr2755,z,loc1086
usr2756,grp960
usr2757,grp691
usr2758,grp789
usr2758,z,loc1980
usr2759,grp301
usr2760,grp557
usr2760,z,loc2261
usr2761,grp271
usr2762,grp510
usr2763,grp183
usr2763,y,loc3559
usr2764,grp935
usr2765,grp755
usr2765,x,loc1631
usr2766,grp769
usr2766,x,loc2384
usr2767,grp201
usr2768,grp925
usr2769,grp756
usr2769,y,loc782
usr2770,grp143
usr2770,x,loc4676
usr2771,grp684
usr2772,grp448
usr2772,y,loc4575
usr2773,grp668
usr2774,grp205
usr2775,grp826
usr2775,z,loc4860
usr2776,grp405
usr2776,x,loc2740
usr2777,grp202
usr2778,grp974
usr2779,grp473
usr2780,grp384
usr2780,y,loc1436
usr2781,grp176
usr2782,grp54
usr2782,z,loc3219
usr2783,grp643
usr2784,grp379
usr2785,grp942
usr2785,z,loc427
usr2786,grp101
usr2786,x,loc3961
usr2787,grp702
usr2788,grp594
usr2788,y,loc1297
usr2789,grp562
usr2790,grp388
usr2790,x,loc615
usr2791,grp932
usr2791,z,loc1611
usr2792,grp44
usr2792,y,loc4428
usr2793,grp333
usr2794,grp38
usr2795,grp452
usr2795,z,loc1951
usr2796,grp947
usr2797,grp374
usr2798,grp859
usr2798,z,loc3481
usr2799,grp348
usr2800,grp527
usr2800,y,loc1037
usr2801,grp745
usr2802,grp445
usr2803,grp406
usr2803,x,loc2448
usr2804,grp759
usr2804,z,loc1047
usr2805,grp26
usr2806,grp395
usr2806,y,loc3327
usr2807,grp296
usr2808,grp87
usr2808,y,loc2546
usr2809,grp350
usr2810,grp203
usr2811,grp757
usr2811,z,loc3234
usr2812,grp733
usr2812,x,loc3607
usr2813,grp302
usr2814,grp918
usr2815,grp238
usr2816,grp392
usr2817,grp496
usr2817,y,loc4767
usr2818,grp959
usr2819,grp681
usr2820,grp950
usr2820,y,loc823
usr2821,grp680
usr2822,grp130
usr2823,grp779
usr2823,x,loc3982
usr2824,grp317
usr2824,x,loc2043
usr2825,grp278
usr2826,grp731
usr2827,grp288
usr2828,grp616
usr2828,y,loc368
usr2829,grp315
usr2830,grp838
usr2831,grp336
usr2832,grp846
usr2832,x,loc735
usr2833,grp603
usr2834,grp178
usr2835,grp311
usr2836,grp814
usr2836,z,loc1010
usr2837,grp355
usr2838,grp619
usr2838,z,loc45
usr2839,grp922
usr2839,y,loc4887
usr2840,grp598
usr2841,grp90
usr2841,y,loc3954
usr2842,grp552
usr2843,grp685
usr2843,y,loc1201
usr2844,grp875
usr2845,grp954
usr2846,grp68
usr2847,grp661
usr2847,y,loc405
usr2848,grp17
usr2848,x,loc4576
usr2849,grp943
usr2849,x,loc4396
usr2850,grp48
usr2851,grp922
usr2852,grp786
usr2853,grp828
usr2854,grp275
usr2855,grp388
usr2856,grp27
usr2856,y,loc3009
usr2857,grp285
usr2858,grp818
usr2859,grp931
usr2860,grp310
usr2860,z,loc4457
usr2861,grp112
usr2862,grp219
usr2862,x,loc609
usr2863,grp141
usr2863,x,loc4565
usr2864,grp682
usr2864,x,loc2959
usr2865,grp961
usr2866,grp140
usr2866,x,loc4189
usr2867,grp294
usr2867,x,loc4960
usr2868,grp687
usr2869,grp593
usr2870,grp998
usr2871,grp870
usr2871,x,loc4743
usr2872,grp126
usr2873,grp314
usr2874,grp361
usr2874,y,loc4628
usr2875,grp484
usr2875,x,loc263
usr2876,grp680
usr2876,z,loc4697
usr2877,grp592
usr2878,grp335
usr2878,z,loc2600
usr2879,grp717
usr2879,z,loc938
usr2880,grp622
usr2880,z,loc3091
usr2881,grp719
usr2881,x,loc2062
usr2882,grp935
usr2882,z,loc199
usr2883,grp73
usr2883,y,loc265
usr2884,grp445
usr2885,grp464
usr2885,x,loc4244
usr2886,grp344
usr2887,grp812
usr2887,x,loc2307
usr2888,grp670
usr2888,z,loc340
usr2889,grp468
usr2889,y,loc1875
usr2890,grp675
usr2890,z,loc1442
usr2891,grp654
usr2891,z,loc3261
usr2892,grp647
usr2893,grp957
usr2893,x,loc1225
usr2894,grp915
usr2895,grp496
usr2895,x,loc2622
usr2896,grp760
usr2896,z,loc1787
usr2897,grp83
usr2897,y,loc1295
usr2898,grp748
usr2899,grp957
usr2900,grp856
usr2900,x,loc1251
usr2901,grp909
usr2901,y,loc4482
usr2902,grp388
usr2903,grp330
usr2904,grp403
usr2904,x,loc4453
usr2905,grp951
usr2906,grp625
usr2907,grp994
usr2907,x,loc2906
usr2908,grp573
usr2909,grp679
usr2910,grp435
usr2910,x,loc353
usr2911,grp198
usr2911,z,loc1994
usr2912,grp898
usr2913,grp453
usr2913,z,loc4614
usr2914,grp908
usr2914,y,loc125
usr2915,grp423
usr2916,grp259
usr2917,grp160
usr2918,grp134
usr2918,y,loc843
usr2919,grp396
usr2919,z,loc601
usr2920,grp350
usr2921,grp933
usr2922,grp199
usr2922,y,loc4596
usr2923,grp730
usr2923,z,loc2705
usr2924,grp785
usr2925,grp363
usr2925,x,loc2245
usr2926,grp443
usr2927,grp263
usr2927,y,loc3879
usr2928,grp877
usr2928,y,loc4476
usr2929,grp250
usr2929,y,loc618
usr2930,grp501
usr2931,grp108
usr2932,grp793
usr2932,x,loc16
usr2933,grp823
usr2933,x,loc381
usr2934,grp603
usr2935,grp477
usr2935,y,loc2356
usr2936,grp8
usr2936,z,loc871
usr2937,grp305
usr2937,y,loc1990
usr2938,grp285
usr2939,grp332
usr2939,z,loc377
usr2940,grp670
usr2941,grp868
usr2941,y,loc2021
usr2942,grp114
usr2942,y,loc2964
usr2943,grp733
usr2943,x,loc2880
usr2944,grp959
usr2945,grp456
usr2946,grp344
usr2946,z,loc2034
usr2947,grp4
usr2947,z,loc2191
usr2948,grp451
usr2949,grp642
usr2950,grp174
usr2950,x,loc4738
usr2951,grp377
usr2951,y,loc1454
usr2952,grp403
usr2953,grp153
usr2954,grp156
usr2954,x,loc4026
usr2955,grp519
usr2956,grp693
usr2956,x,loc3086
usr2957,grp989
usr2957,z,loc4678
usr2958,grp640
usr2959,grp721
usr2959,y,loc2322
usr2960,grp386
usr2960,x,loc3919
usr2961,grp878
usr2962,grp183
usr2962,x,loc197
usr2963,grp868
usr2963,z,loc1174
usr2964,grp758
usr2964,x,loc2812
usr2965,grp764
usr2965,z,loc3467
usr2966,grp561
usr2966,z,loc1898
usr2967,grp943
usr2967,z,loc413
usr2968,grp551
usr2968,x,loc2852
usr2969,grp10
usr2970,grp166
usr2970,y,loc3459
usr2971,grp845
usr2972,grp345
usr2972,z,loc491
usr2973,grp146
usr2973,z,loc2462
usr2974,grp135
usr2975,grp98
usr2976,grp66
usr2977,grp454
usr2977,y,loc4318
usr2978,grp917
usr2978,y,loc4366
usr2979,grp554
usr2979,x,loc4409
usr2980,grp321
usr2981,grp499
usr2982,grp748
usr2983,grp290
usr2984,grp510
usr2985,grp374
usr2985,x,loc819
usr2986,grp783
usr2987,grp221
usr2987,z,loc2556
usr2988,grp72
usr2989,grp589
usr2990,grp191
usr2990,y,loc2883
usr2991,grp52
usr2991,y,loc4987
usr2992,grp683
usr2993,grp879
usr2993,x,loc72
usr2994,grp364
usr2994,y,loc2506
usr2995,grp170
usr2995,z,loc2495
usr2996,grp152
usr2997,grp537
usr2997,x,loc172
usr2998,grp208
usr2998,z,loc4543
usr2999,grp339
usr2999,z,loc2513
usr3000,grp581
usr3001,grp570
usr3001,x,loc2719
usr3002,grp934
usr3003,grp300
usr3003,x,loc3473
usr3004,grp975
usr3005,grp719
usr3006,grp796
usr3007,grp369
usr3007,x,loc3551
usr3008,grp329
usr3008,y,loc2252
usr3009,grp428
usr3010,grp325
usr3010,x,loc2294
usr3011,grp545
usr3012,grp403
usr3013,grp302
usr3014,grp317
usr3014,x,loc795
usr3015,grp467
usr3015,z,loc891
usr3016,grp587
usr3016,z,loc724
usr3017,grp703
usr3017,y,loc3829
usr3018,grp787
usr3018,x,loc1191
usr3019,grp497
usr3019,z,loc398
usr3020,grp295
usr3020,y,loc2018
usr3021,grp254
usr3021,z,loc1348
usr3022,grp176
usr3023,grp963
usr3024,grp192
usr3024,z,loc2366
usr3025,grp908
usr3025,x,loc1497
usr3026,grp279
usr3026,x,loc4753
usr3027,grp837
usr3027,y,loc3806
usr3028,grp574
usr3028,z,loc4722
usr3029,grp797
usr3030,grp632
usr3031,grp522
usr3032,grp843
usr3033,grp525
usr3034,grp613
usr3035,grp986
usr3036,grp894
usr3037,grp810
usr3037,y,loc2637
usr3038,grp41
usr3039,grp746
usr3040,grp516
usr3040,x,loc3205
usr3041,grp828
usr3042,grp599
usr3042,z,loc2737
usr3043,grp886
usr3043,z,loc2575
usr3044,grp371
usr3045,grp859
usr3046,grp287
usr3046,y,loc2930
usr3047,grp785
usr3047,x,loc4398
usr3048,grp581
usr3049,grp960
usr3050,grp913
usr3050,x,loc4820
usr3051,grp79
usr3052,grp301
usr3053,grp26
usr3054,grp445
usr3055,grp477
usr3056,grp200
usr3056,z,loc3289
usr3057,grp27
usr3057,z,loc1071
usr3058,grp108
usr3058,y,loc329
usr3059,grp190
usr3060,grp391
usr3061,grp499
usr3062,grp200
usr3062,z,loc1345
usr3063,grp560
usr3064,grp430
usr3064,x,loc493
usr3065,grp963
usr3066,grp61
usr3067,grp962
usr3067,z,loc1891
usr3068,grp345
usr3068,y,loc4011
usr3069,grp253
usr3070,grp654
usr3070,x,loc4659
usr3071,grp715
usr3072,grp325
usr3073,grp291
usr3073,z,loc4398
usr3074,grp449
usr3074,z,loc3908
usr3075,grp649
usr3075,z,loc2011
usr3076,grp579
usr3077,grp274
usr3078,grp881
usr3079,grp968
usr3079,z,loc791
usr3080,grp652
usr3080,z,loc1354
usr3081,grp790
usr3082,grp822
usr3083,grp268
usr3083,x,loc3427
usr3084,grp373
usr3085,grp740
usr3086,grp281
usr3087,grp672
usr3087,y,loc1121
usr3088,grp455
usr3089,grp362
usr3090,grp964
usr3091,grp505
usr3091,y,loc1596
usr3092,grp292
usr3093,grp968
usr3094,grp39
usr3094,y,loc4967
usr3095,grp536
usr3095,z,loc2611
usr3096,grp266
usr3096,z,loc2626
usr3097,grp76
usr3097,y,loc4641
usr3098,grp673
usr3099,grp49
usr3099,x,loc1165
usr3100,grp774
usr3100,z,loc639
usr3101,grp762
usr3101,z,loc4537
usr3102,grp835
usr3103,grp174
usr3104,grp413
usr3105,grp177
usr3105,x,loc2277
usr3106,grp622
usr3107,grp226
usr3108,grp472
usr3109,grp224
usr3109,y,loc2247
usr3110,grp344
usr3110,x,loc4851
usr3111,grp531
usr3112,grp500
usr3112,y,loc1205
usr3113,grp388
usr3114,grp586
usr3114,y,loc4614
usr3115,grp353
usr3115,z,loc2741
usr3116,grp263
usr3116,z,loc533
usr3117,grp297
usr3118,grp500
usr3118,x,loc3461
usr3119,grp377
usr3119,z,loc2513
usr3120,grp978
usr3120,z,loc442
usr3121,grp519
usr3122,grp1
usr3123,grp164
usr3124,grp456
usr3124,x,loc1595
usr3125,grp879
usr3125,y,loc3081
usr3126,grp950
usr3126,z,loc542
usr3127,grp533
usr3127,z,loc3077
usr3128,grp545
usr3129,grp920
usr3129,x,loc2128
usr3130,grp281
usr3131,grp445
usr3131,y,loc1475
usr3132,grp190
usr3132,z,loc4715
usr3133,grp118
usr3133,y,loc4236
usr3134,grp857
usr3134,x,loc3496
usr3135,grp65
usr3135,y,loc4474
usr3136,grp869
usr3137,grp818
usr3138,grp17
usr3139,grp894
usr3140,grp316
usr3141,grp635
usr3141,y,loc1134
usr3142,grp538
usr3143,grp525
usr3143,z,loc71
usr3144,grp225
usr3145,grp712
usr3146,grp184
usr3146,y,loc227
usr3147,grp589
usr3148,grp95
usr3149,grp330
usr3149,y,loc1633
usr3150,grp645
usr3151,grp151
usr3152,grp180
usr3152,y,loc4265
usr3153,grp129
usr3153,z,loc1475
usr3154,grp16
usr3154,y,loc1283
usr3155,grp199
usr3155,x,loc2079
usr3156,grp612
usr3156,x,loc434
usr3157,grp383
usr3158,grp337
usr3159,grp914
usr3159,z,loc4576
usr3160,grp737
usr3160,z,loc4477
usr3161,grp947
usr3162,grp305
usr3162,x,loc321
usr3163,grp378
usr3164,grp182
usr3164,y,loc820
usr3165,grp271
usr3166,grp507
usr3166,z,loc702
usr3167,grp48
usr3168,grp290
usr3169,grp541
usr3169,z,loc1265
usr3170,grp70
usr3171,grp20
usr3171,y,loc2511
usr3172,grp990
usr3172,x,loc4502
usr3173,grp776
usr3174,grp858
usr3174,x,loc1646
usr3175,grp938
usr3176,grp772
usr3177,grp654
usr3178,grp732
usr3179,grp566
usr3179,y,loc1610
usr3180,grp724
usr3180,y,loc2007
usr3181,grp137
usr3181,x,loc4401
usr3182,grp998
usr3183,grp179
usr3183,z,loc2161
usr3184,grp713
usr3185,grp992
usr3185,z,loc2048
usr3186,grp422
usr3187,grp672
usr3187,z,loc4932
usr3188,grp92
usr3188,z,loc3626
usr3189,grp106
usr3190,grp704
usr3191,grp556
usr3191,x,loc774
usr3192,grp935
usr3193,grp100
usr3194,grp585
usr3195,grp596
usr3195,y,loc1086
usr3196,grp946
usr3197,grp762
usr3197,x,loc4991
usr3198,grp371
usr3198,x,loc1730
usr3199,grp282
usr3200,grp853
usr3200,x,loc433
usr3201,grp336
usr3201,x,loc120
usr3202,grp37
usr3203,grp127
usr3204,grp874
usr3205,grp421
usr3206,grp535
usr3206,y,loc244
usr3207,grp640
usr3208,grp327
usr3209,grp801
usr3209,z,loc4077
usr3210,grp748
usr3211,grp395
usr3212,grp96
usr3213,grp105
usr3214,grp11
usr3215,grp649
usr3216,grp964
usr3216,z,loc2796
usr3217,grp11
usr3218,grp240
usr3219,grp560
usr3219,x,loc3867
usr3220,grp368
usr3220,y,loc1723
usr3221,grp596
usr3222,grp402
usr3223,grp124
usr3223,y,loc1988
usr3224,grp943
usr3225,grp342
usr3226,grp394
usr3227,grp828
usr3227,x,loc2116
usr3228,grp752
usr3228,z,loc1728
usr3229,grp383
usr3230,grp676
usr3231,grp780
usr3232,grp667
usr3233,grp389
usr3234,grp782
usr3235,grp290
usr3236,grp910
usr3236,y,loc4795
usr3237,grp539
usr3238,grp653
usr3239,grp420
usr3240,grp123
usr3240,z,loc1766
usr3241,grp989
usr3241,z,loc4163
usr3242,grp673
usr3243,grp592
usr3243,z,loc1121
usr3244,grp432
usr3244,z,loc225
usr3245,grp242
usr3246,grp421
usr3246,y,loc2898
usr3247,grp369
usr3247,y,loc2996
usr3248,grp636
usr3249,grp539
usr3250,grp138
usr3250,y,loc2122
usr3251,grp733
usr3252,grp621
usr3253,grp363
usr3253,y,loc2421
usr3254,grp669
usr3254,x,loc3544
usr3255,grp298
usr3255,y,loc1714
usr3256,grp942
usr3257,grp335
usr3258,grp822
usr3258,y,loc2950
usr3259,grp694
usr3259,x,loc2439
usr3260,grp658
usr3260,y,loc3426
usr3261,grp39
usr3262,grp489
usr3262,x,loc2425
usr3263,grp460
usr3263,z,loc3758
usr3264,grp205
usr3264,x,loc3967
usr3265,grp365
usr3266,grp420
usr3266,z,loc602
usr3267,grp324
usr3267,x,loc3251
usr3268,grp386
usr3269,grp620
usr3269,x,loc3107
usr3270,grp689
usr3271,grp121
usr3272,grp561
usr3273,grp519
usr3273,x,loc1226
usr3274,grp323
usr3275,grp367
usr3275,y,loc4204
usr3276,grp348
usr3277,grp381
usr3277,z,loc1186
usr3278,grp728
usr3279,grp960
usr3279,x,loc904
usr3280,grp732
usr3281,grp780
usr3281,z,loc973
usr3282,grp16
usr3282,y,loc4043
usr3283,grp652
usr3283,x,loc2015
usr3284,grp862
usr3285,grp293
usr3286,grp617
usr3287,grp292
usr3288,grp104
usr3288,x,loc4567
usr3289,grp102
usr3289,x,loc3661
usr3290,grp557
usr3291,grp469
usr3292,grp543
usr3293,grp455
usr3294,grp500
usr3294,x,loc2641
usr3295,grp160
usr3296,grp878
usr3297,grp843
usr3297,x,loc2494
usr3298,grp865
usr3299,grp781
usr3299,y,loc358
usr3300,grp158
usr3300,z,loc1983
usr3301,grp755
usr3301,y,loc3372
usr3302,grp243
usr3303,grp145
usr3303,y,loc4049
usr3304,grp252
usr3305,grp832
usr3305,y,loc2860
usr3306,grp993
usr3307,grp132
usr3307,y,loc3936
usr3308,grp902
usr3308,x,loc1801
usr3309,grp176
usr3309,x,loc2461
usr3310,grp743
usr3310,x,loc2788
usr3311,grp893
usr3311,z,loc1733
usr3312,grp15
usr3312,z,loc1757
usr3313,grp270
usr3314,grp948
usr3314,x,loc2853
usr3315,grp453
usr3315,y,loc4100
usr3316,grp290
usr3316,x,loc4191
usr3317,grp75
usr3317,y,loc4438
usr3318,grp250
usr3319,grp82
usr3319,x,loc2994
usr3320,grp791
usr3321,grp641
usr3321,z,loc258
usr3322,grp224
usr3322,y,loc3366
usr3323,grp600
usr3323,z,loc3101
usr3324,grp747
usr3324,x,loc1224
usr3325,grp229
usr3325,x,loc1765
usr3326,grp840
usr3327,grp614
usr3327,z,loc372
usr3328,grp925
usr3329,grp644
usr3330,grp202
usr3331,grp415
usr3331,x,loc2201
usr3332,grp414
usr3332,z,loc1879
usr3333,grp305
usr3334,grp545
usr3335,grp605
usr3335,z,loc4478
usr3336,grp141
usr3337,grp707
usr3337,y,loc948
usr3338,grp333
usr3339,grp556
usr3339,y,loc732
usr3340,grp273
usr3341,grp650
usr3341,x,loc2965
usr3342,grp534
usr3343,grp250
usr3344,grp401
usr3344,y,loc393
usr3345,grp130
usr3346,grp80
usr3346,x,loc2305
usr3347,grp22
usr3348,grp350
usr3348,y,loc1777
usr3349,grp958
usr3349,z,loc2957
usr3350,grp247
usr3351,grp764
usr3351,y,loc4130
usr3352,grp136
usr3353,grp134
usr3354,grp580
usr3354,y,loc580
usr3355,grp70
usr3356,grp167
usr3356,z,loc908
usr3357,grp825
usr3358,grp26
usr3359,grp405
usr3359,y,loc4958
usr3360,grp137
usr3361,grp541
usr3362,grp827
usr3363,grp869
usr3364,grp237
usr3365,grp669
usr3366,grp32
usr3367,grp833
usr3367,y,loc4685
usr3368,grp955
usr3368,y,loc4334
usr3369,grp998
usr3370,grp931
usr3371,grp583
usr3371,x,loc1096
usr3372,grp339
usr3372,y,loc4665
usr3373,grp611
usr3374,grp507
usr3375,grp979
usr3375,z,loc3576
usr3376,grp433
usr3377,grp297
usr3378,grp793
usr3379,grp103
usr3380,grp906
usr3380,y,loc4962
usr3381,grp460
usr3382,grp73
usr3382,z,loc1229
usr3383,grp407
usr3384,grp751
usr3385,grp129
usr3386,grp325
usr3386,y,loc2110
usr3387,grp79
usr3388,grp872
usr3389,grp419
usr3389,x,loc2597
usr3390,grp619
usr3390,y,loc4595
usr3391,grp314
usr3391,z,loc1746
usr3392,grp501
usr3392,x,loc1981
usr3393,grp939
usr3393,z,loc2964
usr3394,grp890
usr3394,z,loc775
usr3395,grp529
usr3396,grp987
usr3396,z,loc2928
usr3397,grp882
usr3397,z,loc384
usr3398,grp4
usr3398,x,loc3544
usr3399,grp629
usr3400,grp964
usr3400,x,loc2210
usr3401,grp856
usr3402,grp843
usr3403,grp553
usr3403,z,loc685
usr3404,grp202
usr3405,grp348
usr3406,grp459
usr3407,grp201
